pais,idnum,uniq_id,estratopri,estratosec,upm,prov,municipio,cluster,ur,tamano,idiomaq,fecha,wt,q1,q2y,q2,ls3,a4,soct2,idio2,np1,np2,sgl1,cp4a,cp5,cp6,cp7,cp8,cp13,cp20,cpss1,cpx,it1,l1,immig1,immig2,prot3,jc10,jc13,jc15a,vic1ext,vic1exta,vic2,vic2aa,vic1hogar,pole2n,aoj11,pese1,pese2,aoj17,aoj12,aoj22,b1,b2,b3,b4,b6,b10a,b11,b12,b13,b18,b20,b20a,b21,b21a,b32,b37,b40,b46,b47a,b51,ecub50,ecuenv1,ecuenv2,b48a,b48b,b48c,b48d,epp1,epp3,n9,n11,n15,b3milx,mil3,mil4,pr3a,pr3c,pr3d,pr3e,pr4,pr5,m1,sd2new2,sd3new2,sd6new2,infrax,ros1,ros4,ing4,eff1,eff2,mil7,ecuong1,ecuong2,ecuong3,env1,dst1,pn4,w14a,e5,e15,e3,e16,d1,d2,d3,d4,d5,d6,d7,d8,dem2,dem11,exc2,exc6,exc20,exc11,exc13,exc14,exc15,exc16,exc18,exc7,vicbar1,vicbar1f,vicbar3,vicbar4,vicbar7,fear10,vic44,vb1,inf1,vb2,vb3n,vb4new,vb101,vb10,vb11,pol1,vb20,ecuvot1,ecuvot2,clien1n,clien1na,ecurele1,ecuinley,ecudolar,for1n,for4,for5,for6,for7,for6b,for7b,mil10a,mil10c,mil10e,vol207n,vol208n,dvw1,dvw2,wf1,cct1b,gc1,gc1a,ed,ed2,q3c,q5b,ocup4a,ocup1a,q10new,q10g,q10a,q10cnew,gc4,gc4a,q10d,q10e,q11n,q12c,q12bn,q12,etid,leng1,leng4,ecudis1,ecudis2,www1,gi0,gc2,gi1,gix4,gi4,gi7,r3,r4,r4a,r5,r6,r7,r8,r12,r14,r15,r18,r1,r16,r26,colorr,sexi,colori,nationality,formatq,sex,gi7r
Ecuador,32407fb5-db29-4b63-a919-7f75ce81715d-3b14e536d8efcffc4238291,ECU14_14090369,Costa Rural,Medium: Between 25.000 and 100.000,1208,Los Ríos,Vinces,142,Rural,Rural Area,Spanish,29jan2014,1,Female,1965,49,Somewhat Dissatisfied,"Economy, problems with, crisis of",Worse,Same,No,No,Very Bad,No,Never,Once a Week,Once or Twice a Month,Never,Never,Once or Twice a Year,Never,No,Somewhat Trustworthy,No Response,Somewhat Disagree,They take away jobs from citizens,No,"No, a military take-over of the state would not be justified","No, a military take-over of the state would not be justified","No, it is not justified",No,Not Applicable,Not Applicable,Not Applicable,Yes,Dissatisfied,Somewhat Unsafe,Same,Same,Somewhat,None,Increase punishment of criminals,2,5,Don't Know,4,3,2,2,6,2,Not at All,A Lot,2,2,2,Not at All,3,2,Don't Know,4,3,4,6,5,Don't Know,Don't Know,Don't Know,Don't Know,2,Not at All,3,3,3,5,2,2,4,5,5,4,3,Don't Know,Neither Good nor Bad (Fair),Dissatisfied,Satisfied,Dissatisfied,Less than 10 minutes,3,Strongly Agree,3,Strongly Disagree,4,6,5,Strongly Agree,4,Promote Economic Growth,Avoiding Cost Increases,Dissatisfied,"No, it is not justified",3,2,2,7,Don't Know,4,Don't Know,4,2,Strongly Disapprove,6,5,Democracy is preferable to any other form of government,Everyone's Participation,No,No,No,No,Not Applicable,Yes,No,No,Yes,Common,Yes,Once or Twice a Month,Yes,Don't Know,Yes,No,No,Yes,Yes,Voted,"Lucio Gutiérrez, Partido Sociedad Patriótica - PSP",Not Applicable,Not Applicable,Yes,Partido Sociedad Patriótica 21 de Enero (PSP),None,Would vote for a candidate or party different from the current administration,Agree that voting should be compulsory,Yes,No,No,Yes,The laws in Ecuador were made for the benefit of private interest,Maintain dollarization,Don't Know,No Response,[Don't Read] None/we ought to follow our own model,Don't Know,Not Applicable,Don't Know,Not Applicable,Not Very Trustworthy,Don't Know,Not Very Trustworthy,Almost Never,Sometimes,Would Not Approve but Understand,Would Not Approve or Understand,No,No,Does not speak a foreign language,Not Applicable,8,Primary incomplete,Catholic,Very Important,Taking care of the home,Not Applicable,Between 351 and 375,Not Applicable,No,No,Never been abroad,Not Applicable,"Not enough, and are stretched",Increased,Married,6,2,4,Mestizo,Castilian / Spanish,Spanish only,No,Not Applicable,Never,Never,Not Applicable,Correct,Incorrect,Correct,98,Yes,No,Yes,No,No,No,No,Yes,Yes,No,No,Yes,No,Yes,5,Male,3,Ecuadorian,Android,Female,Incorrect
Ecuador,eaed0337-0285-420c-a1c2-3b10d78cc4fd-8f9b4fb744022cfb42381244,ECU14_14091418,Costa Rural,Large: More than 100.000,1201,Los Ríos,Babahoyo,135,Rural,Rural Area,Spanish,31jan2014,1,Male,1961,53,Very Satisfied,Drug trafficking,Better,Better,Yes,Yes,Good,Yes,Once or Twice a Year,Once or Twice a Month,Once or Twice a Month,Once or Twice a Month,Once or Twice a Year,Not Applicable,Once or Twice a Year,No,Somewhat Trustworthy,Left,Strongly Agree,They do the jobs that citizens do not want,Yes,Don't Know,"Yes, a military take-over of the state would be justified","No, it is not justified",No,Not Applicable,Not Applicable,Not Applicable,No,Satisfied,Somewhat Safe,Lower,Lower,A Little,Some,Increase punishment of criminals,5,6,6,A Lot,A Lot,4,6,A Lot,6,5,4,Not at All,5,6,5,3,Not at All,5,5,4,Not Applicable,A lot,5,3,5,5,A lot,4,4,4,4,6,A Lot,3,Not at All,2,6,5,3,5,The government does not have that right,Good,Very Satisfied,Very Satisfied,Satisfied,Between 10 and 30 minutes,5,Strongly Agree,Strongly Agree,Strongly Agree,5,Strongly Agree,4,2,3,Protect the Environment,Avoiding Cost Increases,Satisfied,"Yes, it is justified",Strongly Disapprove,Strongly Disapprove,Strongly Disapprove,5,7,4,4,4,8,Strongly Disapprove,Strongly Approve,8,Democracy is preferable to any other form of government,Iron Fist,No,No,No,No,No,Not Applicable,No,No,No,Common,Yes,Once or Twice a Month,No,Yes,No,Yes,Yes,Yes,Yes,Voted,"Rafael Correa, Movimiento Alianza País - PAIS",Not Applicable,Not Applicable,Yes,Alianza PAIS-Patria Altiva I Soberana (PAIS),Some,Would vote for incumbent candidate or party,Voting should be optional,Yes,No,Yes,Yes,The laws in Ecuador were made thinking of the national interest,Maintain dollarization,"China (mainland China, not Taiwan)","China (mainland China, not Taiwan)","China (mainland China, not Taiwan)",A Lot,Positive,A Little,Negative,Somewhat Trustworthy,Not Very Trustworthy,Not Very Trustworthy,Sometimes,Sometimes,Would Not Approve or Understand,Would Not Approve but Understand,No,No,Does not speak a foreign language,Not Applicable,9,Primary incomplete,Catholic,Rather Important,Working,Self-employed,Between 286 and 310,Between 181 and 220,No,No,Never been abroad,Not Applicable,"Good enough, with no major problems",Remained the same,Married,3,1,4,Mestizo,Castilian / Spanish,Spanish only,No,Not Applicable,Never,Daily,A few times a month,Incorrect,Incorrect,Correct,No Response,Yes,No,Yes,No,No,No,No,Yes,Yes,No,No,Yes,No,No,8,Male,3,Ecuadorian,Android,Male,No Response
Ecuador,8bb1e2e1-5d86-43c2-9ae5-b63d1e78627b-fbf0fbb4575f9c5b4240071,ECU14_14090993,Sierra Rural,Small: Less than 25.000,106,Azuay,Pucará,12,Rural,Rural Area,Spanish,01feb2014,1,Male,1985,29,Somewhat Satisfied,Poverty,Better,Better,No,No,Bad,No,Never,Once or Twice a Month,Once or Twice a Month,Once or Twice a Month,Never,Not Applicable,Once a Week,No,Very Trustworthy,4,Somewhat Disagree,They take away jobs from citizens,No,"No, a military take-over of the state would not be justified","No, a military take-over of the state would not be justified","No, it is not justified",No,Not Applicable,Not Applicable,Not Applicable,No,Satisfied,Very Safe,Lower,Lower,None,A Lot,Implement preventive measures,4,5,3,6,6,4,5,6,4,5,6,Not at All,5,6,6,3,5,3,6,4,5,5,5,5,5,5,5,6,6,6,6,6,6,3,6,5,6,6,Not at All,6,The government does not have that right,Good,Dissatisfied,Satisfied,Satisfied,Less than 10 minutes,3,5,3,3,3,6,4,4,4,Protect the Environment,Avoiding Cost Increases,Satisfied,"Yes, it is justified",9,2,2,3,5,5,4,4,7,2,7,3,Democracy is preferable to any other form of government,Iron Fist,No,No,No,Not Applicable,No,Not Applicable,No,No,No,Very Common,No,Not Applicable,No,No,No,No,No,Yes,Yes,Voted,"Rafael Correa, Movimiento Alianza País - PAIS",Not Applicable,Not Applicable,No,Not Applicable,Some,Would vote for incumbent candidate or party,Agree that voting should be compulsory,No,No,No,Yes,The laws in Ecuador were made thinking of the national interest,Maintain dollarization,"China (mainland China, not Taiwan)",Brazil,Brazil,Some,[Don't Read] Neither positive nor negative,Some,Positive,Somewhat Trustworthy,Not Very Trustworthy,Somewhat Trustworthy,Never,Almost Never,Would Not Approve or Understand,Would Not Approve but Understand,No,No,Does not speak a foreign language,Not Applicable,10,Primary complete,Catholic,Very Important,Working,Salaried employee in the private sector,Between 461 and 530,Between 461 and 530,No,No,Never been abroad,Not Applicable,"Not enough, and are stretched",Remained the same,Married,5,3,3,Mestizo,Castilian / Spanish,Spanish only,No,Not Applicable,Never,A few times a week,Rarely,Correct,Incorrect,Correct,85,Yes,No,Yes,No,No,No,No,Yes,Yes,No,No,Yes,No,Yes,6,Female,3,Ecuadorian,Android,Male,Incorrect
Ecuador,8bb1e2e1-5d86-43c2-9ae5-b63d1e78627b-fbf0fbb4575f9c5b4240068,ECU14_14090989,Sierra Rural,Small: Less than 25.000,106,Azuay,Pucará,12,Rural,Rural Area,Spanish,01feb2014,1,Female,1976,38,Very Satisfied,Don't Know,Worse,Same,No,No,Very Bad,No,Never,Once or Twice a Month,Once or Twice a Month,Once or Twice a Month,Never,Never,Never,No,Very Trustworthy,7,Neither Agree nor Disagree,They take away jobs from citizens,No,"No, a military take-over of the state would not be justified","Yes, a military take-over of the state would be justified","No, it is not justified",No,Not Applicable,Not Applicable,Not Applicable,No,Satisfied,Very Safe,Lower,Same,None,Some,Increase punishment of criminals,5,5,6,6,6,4,5,5,4,4,A Lot,Not at All,5,5,5,4,2,Don't Know,5,Don't Know,Not Applicable,A lot,A lot,4,5,6,4,A Lot,A Lot,4,5,3,Don't Know,Not at All,4,Not at All,A Lot,A Lot,Not at All,5,The government does not have that right,Good,Satisfied,Satisfied,Satisfied,Between 10 and 30 minutes,Don't Know,5,5,5,2,Strongly Agree,3,3,3,Protect the Environment,Safer Construction of Homes,Satisfied,"Yes, it is justified",Strongly Approve,4,6,7,7,Strongly Approve,4,5,5,Strongly Disapprove,Strongly Approve,Strongly Disapprove,For people like me it doesn't matter whether a government is democratic or non-democratic,Everyone's Participation,No,No,No,Not Applicable,Not Applicable,Not Applicable,No,No,No,Uncommon,No,Not Applicable,No,No,No,No,No,Yes,Yes,Voted,"Rafael Correa, Movimiento Alianza País - PAIS",Not Applicable,Not Applicable,Yes,Alianza PAIS-Patria Altiva I Soberana (PAIS),None,Would vote for incumbent candidate or party,Agree that voting should be compulsory,Yes,No,No,No,The laws in Ecuador were made thinking of the national interest,Maintain dollarization,United States,United States,United States,A Little,Don't Know,Some,Positive,Somewhat Trustworthy,Somewhat Trustworthy,Somewhat Trustworthy,Never,Never,Would Not Approve or Understand,Would Not Approve but Understand,Yes,Yes,Does not speak a foreign language,Not Applicable,9,Primary incomplete,Catholic,Very Important,Taking care of the home,Not Applicable,Between 401 and 460,Not Applicable,No,No,Never been abroad,Not Applicable,"Not enough, and are stretched",Increased,Common law marriage (Living together),4,2,3,Mestizo,Castilian / Spanish,Spanish only,No,Not Applicable,Never,Daily,A few times a week,Correct,Incorrect,Correct,75,Yes,No,Yes,No,No,No,No,Yes,Yes,No,No,Yes,No,Yes,5,Female,3,Ecuadorian,Android,Female,Incorrect
Ecuador,21dd225b-2a69-41f9-a9a5-829fd28e3ca2-4a73860d651f1949423832,ECU14_14090185,Sierra Rural,Small: Less than 25.000,1105,Loja,Chaguarpamba,127,Rural,Rural Area,Spanish,29jan2014,1,Female,1976,38,Very Satisfied,Roads in poor condition,Same,Same,Yes,No,Good,No,Once or Twice a Month,Once a Week,Once or Twice a Month,Once or Twice a Month,Once a Week,Never,Never,No,Somewhat Trustworthy,6,Somewhat Agree,They take away jobs from citizens,No,No Response,No Response,"No, it is not justified",No,Not Applicable,Not Applicable,Not Applicable,No,Dissatisfied,Somewhat Safe,Lower,Lower,None,Some,Increase punishment of criminals,5,A Lot,A Lot,A Lot,6,6,A Lot,4,6,6,A Lot,2,6,A Lot,5,5,2,3,6,4,Not Applicable,A lot,A lot,A lot,5,5,3,4,6,5,5,6,5,2,5,2,4,3,3,5,The government does not have that right,Very Good,Dissatisfied,Satisfied,Satisfied,More than 3 hours,5,6,5,4,5,4,3,4,2,Promote Economic Growth,Safer Construction of Homes,Satisfied,"Yes, it is justified",3,Strongly Disapprove,Strongly Disapprove,Strongly Disapprove,4,3,2,4,2,Strongly Disapprove,6,3,For people like me it doesn't matter whether a government is democratic or non-democratic,Everyone's Participation,No,No,No,No,No,Not Applicable,No,No,No,Common,No,Not Applicable,No,No,No,No,No,Yes,Yes,Voted,"Rafael Correa, Movimiento Alianza País - PAIS",Not Applicable,Not Applicable,Yes,Alianza PAIS-Patria Altiva I Soberana (PAIS),Some,Would vote for incumbent candidate or party,Agree that voting should be compulsory,Yes,No,No,No,The laws in Ecuador were made thinking of the national interest,Maintain dollarization,"China (mainland China, not Taiwan)",United States,United States,Some,Negative,Some,[Don't Read] Neither positive nor negative,Not Very Trustworthy,Untrustworthy,Not Very Trustworthy,Almost Never,Almost Never,Would Not Approve or Understand,Would Not Approve or Understand,No,No,Does not speak a foreign language,Not Applicable,15,Primary incomplete,Catholic,Very Important,Working,Salaried employee in the private sector,Between 531 and 660,Between 261 and 285,No,No,Never been abroad,Not Applicable,Good enough and can save,Remained the same,Married,4,2,2,Mestizo,Castilian / Spanish,Spanish only,No,Not Applicable,Daily,A few times a week,A few times a week,Correct,Correct,Correct,137,Yes,No,Yes,No,No,No,No,Yes,Yes,No,No,Yes,No,No,2,Female,4,Ecuadorian,Android,Female,Correct
Ecuador,8bb1e2e1-5d86-43c2-9ae5-b63d1e78627b-fbf0fbb4575f9c5b4240062,ECU14_14090983,Sierra Rural,Small: Less than 25.000,106,Azuay,Pucará,11,Rural,Rural Area,Spanish,01feb2014,1,Female,1971,43,Somewhat Satisfied,"Economy, problems with, crisis of",Worse,Better,No,No,Neither Good nor Bad (Fair),No,Once or Twice a Year,Once a Week,Once or Twice a Month,Once or Twice a Month,Never,Once or Twice a Year,Never,No,Very Trustworthy,Don't Know,Strongly Disagree,They take away jobs from citizens,No,"No, a military take-over of the state would not be justified","Yes, a military take-over of the state would be justified","No, it is not justified",No,Not Applicable,Not Applicable,Not Applicable,No,Dissatisfied,Somewhat Safe,Lower,Higher,None,Some,[Don't Read] Both,A Lot,Not at All,A Lot,3,5,A Lot,A Lot,4,6,2,A Lot,Not at All,5,6,5,4,5,6,6,Not at All,Not Applicable,6,A lot,A lot,A lot,A lot,5,4,3,5,6,6,6,Not at All,A Lot,A Lot,A Lot,A Lot,A Lot,A Lot,The government does not have that right,Good,Dissatisfied,Satisfied,Satisfied,More than 1 hour but less than 3 hours,Strongly Disagree,Strongly Agree,5,5,4,6,6,6,6,[Don't Read] Both,Safer Construction of Homes,Satisfied,"No, it is not justified",Strongly Approve,Strongly Approve,5,6,8,Strongly Approve,Strongly Approve,8,Strongly Disapprove,Strongly Disapprove,Strongly Disapprove,Strongly Disapprove,Democracy is preferable to any other form of government,Everyone's Participation,No,No,No,Not Applicable,Not Applicable,Not Applicable,No,No,No,Uncommon,No,Not Applicable,No,No,No,No,No,Yes,Yes,Voted,"Rafael Correa, Movimiento Alianza País - PAIS",Not Applicable,Not Applicable,Don't Know,Not Applicable,Some,Would vote for incumbent candidate or party,Agree that voting should be compulsory,No,No,No,Yes,The laws in Ecuador were made for the benefit of private interest,Have our own currency,United States,Don't Know,United States,A Lot,Positive,Some,Positive,Untrustworthy,Untrustworthy,Somewhat Trustworthy,Sometimes,Sometimes,Would Not Approve but Understand,Would Not Approve but Understand,Yes,Yes,Does not speak a foreign language,Not Applicable,6,Primary incomplete,Catholic,Very Important,Taking care of the home,Not Applicable,Between 221 and 260,Not Applicable,No,Yes,Never been abroad,Not Applicable,"Not enough, and having a hard time",Remained the same,Married,5,1,3,Mestizo,Castilian / Spanish,Spanish only,No,Not Applicable,Never,Daily,Rarely,Correct,Incorrect,Correct,100,Yes,No,Yes,No,No,No,No,Yes,Yes,No,No,Yes,No,Yes,5,Female,3,Ecuadorian,Android,Female,Incorrect
Ecuador,a552bbc0-49db-4fd9-ab9f-3dd345e38372-bbca22f54159a764238442,ECU14_14091073,Costa Rural,Medium: Between 25.000 and 100.000,712,El Oro,Santa Rosa,43,Rural,Rural Area,Spanish,27jan2014,1,Male,1978,36,Very Satisfied,Unemployment,Better,Same,No,No,Neither Good nor Bad (Fair),No,Never,Never,Never,Never,Never,Not Applicable,Once a Week,No,Somewhat Trustworthy,No Response,Neither Agree nor Disagree,They do the jobs that citizens do not want,No,"No, a military take-over of the state would not be justified","Yes, a military take-over of the state would be justified","No, it is not justified",No,Not Applicable,Not Applicable,Not Applicable,No,Very Dissatisfied,Somewhat Safe,Same,Lower,None,None,Implement preventive measures,Not at All,6,3,3,3,Not at All,Not at All,Not at All,Not at All,3,A Lot,Not at All,Not at All,3,4,3,5,None,Not at All,2,Not Applicable,A lot,A lot,3,None,None,None,3,Not at All,Not at All,4,2,Not at All,4,5,Not at All,3,3,6,2,The government does not have that right,Neither Good nor Bad (Fair),Satisfied,Not Applicable,Satisfied,More than 1 hour but less than 3 hours,Strongly Disagree,Strongly Agree,3,Strongly Disagree,2,Strongly Agree,Don't Know,No Response,No Response,[Don't Read] Both,Safer Construction of Homes,Don't Know,"No, it is not justified",9,5,3,Strongly Approve,8,7,9,5,3,2,Strongly Approve,5,Don't Know,Everyone's Participation,No,No,No,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Don't Know,No,Not Applicable,No,No,No,No,No,Yes,Yes,Voted,"Rafael Correa, Movimiento Alianza País - PAIS",Not Applicable,Not Applicable,No,Not Applicable,None,Would not vote,Voting should be optional,No,No,No,No,The laws in Ecuador were made for the benefit of private interest,Maintain dollarization,United States,Japan,United States,Don't Know,Not Applicable,A Little,[Don't Read] Neither positive nor negative,Not Very Trustworthy,Don't Know,Somewhat Trustworthy,Never,Almost Never,Would Not Approve or Understand,Would Not Approve or Understand,No,Yes,Does not speak a foreign language,Not Applicable,11,Secondary incomplete,Catholic,Very Important,Working,Salaried employee in the private sector,Between 531 and 660,Between 311 and 350,No,No,Never been abroad,Not Applicable,"Not enough, and having a hard time",Remained the same,Single,6,0,None,Mestizo,Castilian / Spanish,Spanish only,No,Not Applicable,A few times a month,A few times a week,A few times a month,Incorrect,Incorrect,Correct,Don't Know,Yes,No,Yes,No,No,No,No,Yes,Yes,No,No,Yes,No,Yes,4,Female,3,Ecuadorian,Android,Male,Don't Know
Ecuador,8bb1e2e1-5d86-43c2-9ae5-b63d1e78627b-fbf0fbb4575f9c5b4240051,ECU14_14090971,Sierra Rural,Large: More than 100.000,10102,Azuay,Cuenca,9,Rural,Rural Area,Spanish,25jan2014,1,Female,1986,28,Very Satisfied,"Inflation, high prices",Better,Same,No,No,Good,No,Never,Once or Twice a Month,Once a Week,Never,Once or Twice a Year,Never,Once or Twice a Month,No,Not Very Trustworthy,4,Strongly Disagree,They take away jobs from citizens,No,"No, a military take-over of the state would not be justified","No, a military take-over of the state would not be justified","No, it is not justified",Yes,3,"Unarmed robbery, no assault or physical threats",In your home,Yes,Dissatisfied,Very Unsafe,Don't Know,Higher,Somewhat,Some,Implement preventive measures,3,5,3,3,2,2,2,Don't Know,2,3,2,2,3,3,2,4,Not at All,Don't Know,2,Don't Know,None,4,A lot,5,4,5,5,4,Not at All,4,4,4,Not at All,Not at All,Not at All,Not at All,6,A Lot,A Lot,3,The government does not have that right,Neither Good nor Bad (Fair),Satisfied,Very Satisfied,Satisfied,More than 30 minutes but less than 1 hour,6,Strongly Agree,5,Strongly Disagree,Strongly Disagree,4,4,4,4,Promote Economic Growth,Avoiding Cost Increases,Satisfied,"Yes, it is justified",Strongly Disapprove,Strongly Disapprove,Strongly Disapprove,Strongly Disapprove,4,Strongly Disapprove,9,Strongly Disapprove,Strongly Disapprove,Strongly Disapprove,9,Strongly Disapprove,Don't Know,Everyone's Participation,Yes,No,No,No,No,Not Applicable,No,No,No,Very Common,Yes,Once a Week,No,No,Yes,No,No,Yes,Yes,Voted,"Mauricio Rodas, SUMA",Not Applicable,Not Applicable,Yes,Movimiento Creando Oportunidades (CREO),None,Would vote for a candidate or party different from the current administration,Voting should be optional,Yes,No,No,No,The laws in Ecuador were made thinking of the national interest,Maintain dollarization,Japan,United States,United States,A Lot,Negative,Some,Positive,Don't Know,Don't Know,Somewhat Trustworthy,Sometimes,Always,Would Not Approve or Understand,Would Not Approve or Understand,No,No,Does not speak a foreign language,Not Applicable,12,Primary complete,Catholic,Not Very Important,Working,Self-employed,Between 531 and 660,Less than 130,No,Yes,Less than a month,Less than a year,"Not enough, and are stretched",Remained the same,Married,4,2,2,Mestizo,Castilian / Spanish,Spanish only,No,Not Applicable,Never,Rarely,Rarely,Correct,Incorrect,Correct,20,Yes,No,Yes,No,No,No,No,Yes,Yes,No,No,Yes,No,Yes,4,Female,3,Ecuadorian,Android,Female,Incorrect
Ecuador,32407fb5-db29-4b63-a919-7f75ce81715d-3b14e536d8efcffc42382117,ECU14_14090315,Costa Rural,Small: Less than 25.000,1305,Manabí,Flavio Alfaro,149,Rural,Rural Area,Spanish,02feb2014,1,Female,1994,20,Very Satisfied,Unemployment,Better,Better,No,No,Bad,No,Never,Once a Week,Never,Never,Never,Never,Once or Twice a Month,No,Somewhat Trustworthy,Don't Know,Don't Know,They take away jobs from citizens,No,"No, a military take-over of the state would not be justified","No, a military take-over of the state would not be justified","No, it is not justified",No,Not Applicable,Not Applicable,Not Applicable,Yes,Satisfied,Somewhat Safe,Lower,Lower,A Little,Some,Increase punishment of criminals,4,5,Don't Know,4,4,4,4,6,3,4,6,3,4,5,3,3,2,Don't Know,4,Don't Know,Don't Know,6,5,Don't Know,4,4,4,4,2,5,4,5,6,3,2,4,5,5,6,6,The government does not have that right,Good,Dissatisfied,Satisfied,Satisfied,Less than 10 minutes,5,Strongly Agree,5,3,3,Strongly Agree,6,6,5,Promote Economic Growth,Safer Construction of Homes,Satisfied,"Yes, it is justified",4,2,2,5,5,3,4,4,5,Strongly Disapprove,9,4,Democracy is preferable to any other form of government,Everyone's Participation,No,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Uncommon,Yes,Once or Twice a Year,Don't Know,Don't Know,No,Yes,No,Yes,Yes,Did Not Vote,Not Applicable,Not in the district/away from home,Not Applicable,Yes,Alianza PAIS-Patria Altiva I Soberana (PAIS),A Little,Would vote for incumbent candidate or party,Agree that voting should be compulsory,Yes,No,No,Yes,The laws in Ecuador were made thinking of the national interest,Maintain dollarization,United States,Don't Know,"China (mainland China, not Taiwan)",Don't Know,Not Applicable,Don't Know,Not Applicable,Somewhat Trustworthy,Don't Know,Not Very Trustworthy,Never,Almost Never,Would Not Approve but Understand,Don't Know,Yes,Yes,Does not speak a foreign language,Not Applicable,12,Secondary incomplete,Catholic,Very Important,Student,Not Applicable,Between 376 and 400,Not Applicable,No,No,Never been abroad,Not Applicable,"Good enough, with no major problems",Increased,Single,5,1,None,Mestizo,Castilian / Spanish,Spanish only,No,Not Applicable,A few times a week,A few times a week,A few times a month,Correct,Correct,Correct,112,Yes,No,Yes,No,No,No,No,Yes,Yes,No,No,Yes,No,No,5,Male,3,Ecuadorian,Android,Female,Incorrect
Ecuador,2c2d9b1d-1495-41e6-9aa5-e560f9102a6e-36eec846e3e1a12a42437148,ECU14_14090273,Costa Rural,Small: Less than 25.000,1319,Manabí,Puerto López,168,Rural,Rural Area,Spanish,05feb2014,1,Female,1925,89,Very Satisfied,Unemployment,Better,Same,No,No,Very Bad,No,Never,Never,Never,Never,Never,Never,Never,No,Very Trustworthy,Don't Know,Strongly Agree,They do the jobs that citizens do not want,No,"No, a military take-over of the state would not be justified","No, a military take-over of the state would not be justified","No, it is not justified",No,Not Applicable,Not Applicable,Not Applicable,No,No Response,Very Safe,Lower,Lower,None,A Lot,[Don't Read] Both,Don't Know,A Lot,4,5,Not at All,2,3,Don't Know,Not at All,A Lot,Not at All,A Lot,Not at All,Not at All,Not at All,4,Don't Know,Don't Know,2,Don't Know,Not Applicable,4,A lot,Don't Know,Don't Know,Don't Know,Don't Know,5,A Lot,6,A Lot,A Lot,A Lot,Don't Know,Don't Know,Not at All,5,3,3,3,The government has the right to seize private property,Very Good,Very Dissatisfied,Very Satisfied,Very Satisfied,Less than 10 minutes,Don't Know,Strongly Agree,Don't Know,Strongly Disagree,Strongly Disagree,Strongly Agree,Don't Know,Don't Know,Strongly Disagree,[Don't Read] Both,[Don't Read] Both,Satisfied,"Yes, it is justified",Strongly Approve,Strongly Disapprove,Strongly Disapprove,Strongly Approve,Don't Know,Strongly Approve,Strongly Disapprove,Strongly Disapprove,Strongly Disapprove,Strongly Disapprove,Strongly Approve,Strongly Disapprove,Democracy is preferable to any other form of government,Everyone's Participation,Don't Know,Don't Know,Don't Know,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,No,Very Common,No,Not Applicable,No,No,No,No,No,No,No,Did Not Vote,Not Applicable,"Age-related matters (too young, too old)",Not Applicable,No,Not Applicable,None,Would not vote,Agree that voting should be compulsory,No,No,No,No,No Response,Have our own currency,Don't Know,Don't Know,Don't Know,Don't Know,Not Applicable,Don't Know,Not Applicable,Don't Know,Don't Know,Don't Know,Never,Always,Would Not Approve or Understand,Would Not Approve or Understand,No,No,Does not speak a foreign language,Not Applicable,None,None,Evangelical and Protestant,Very Important,Taking care of the home,Not Applicable,Less than 130,Not Applicable,Yes,Yes,Never been abroad,Not Applicable,"Not enough, and having a hard time",Decreased,Widowed,3,0,2,Mestizo,Castilian / Spanish,Spanish only,No,Not Applicable,Never,Never,Not Applicable,Incorrect,Incorrect,Incorrect,Don't Know,Yes,No,Yes,No,No,No,No,Yes,Yes,No,No,Yes,No,No,5,Female,2,Ecuadorian,Android,Female,Don't Know
